| #      | Test Case Title                                      | Description                                                                                         | Preconditions                         | Steps                                                                                                                                                                     | Expected Result                                                   | Priority |
| ------ | ---------------------------------------------------- | --------------------------------------------------------------------------------------------------- | ------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------- | -------- |
| **1**  | Verify successful booking from registration          | Validate that a user can successfully complete the booking and payment using valid Stripe test card | User logged in; available slot exists | 1. Go to booking page.<br>2. Select valid scan, location, and date.<br>3. Proceed to payment.<br>4. Enter Stripe test card (4242 4242 4242 4242).<br>5. Complete booking. | Booking confirmation screen appears with booking ID and receipt.  | **P1**   |
| **2**  | Verify successful booking for existing user          | Validate error handling for declined card scenario                                                  | Same as above                         | Enter Stripe test card `4000 0000 0000 0002`                                                                                                                              | Payment fails with proper error message; booking not created.     | **P1**   |
| **3**  | Verify in the user faced url the booking details displayed                 | Ensure same slot cannot be booked twice by same user                                                | Slot available                        | Book slot → try booking same slot again                                                                                                                                   | System prevents duplicate booking; message shown.                 | **P1**   |
| **4**  | Verify required fields validation in booking form    | Ensure mandatory fields (scan type, location, time) cannot be skipped                               | User logged in                        | Leave mandatory fields empty → click "Continue"                                                                                                                           | Validation messages appear for missing fields.                    | P2       |
| **5**  | Verify time slot availability updates after booking  | Ensure booked slot is no longer available to other users                                            | Slot available                        | Book slot as User A → check availability as User B                                                                                                                        | Slot should appear as unavailable.                                | P2       |
| **6**  | Verify that payment amount matches scan price        | Validate correct charge amount sent to Stripe                                                       | Selected scan known price             | Book scan, complete payment                                                                                                                                               | Stripe logs show correct amount (e.g., $1,000 for Full Body MRI). | P2       |
| **7**  | Verify cancellation policy visibility                | Ensure user can view and understand cancellation policy                                             | Booking flow open                     | On payment page, check for “Cancellation Policy” link                                                                                                                     | Policy visible and opens correctly.                               | P3       |
| **8**  | Verify booking confirmation email receipt            | Ensure confirmation email is sent post-payment                                                      | Valid booking completed               | Check inbox after booking                                                                                                                                                 | Confirmation email received with correct details.                 | P3       |
| **9**  | Verify user cannot access booking flow without login | Ensure authentication enforced                                                                      | User logged out                       | Directly access booking page URL                                                                                                                                          | Redirected to login page.                                         | P3       |
| **10** | Verify that expired session prompts re-login         | Validate session timeout handling                                                                   | Logged-in user                        | Wait for session timeout → perform booking                                                                                                                                | Redirected to login with warning.                                 | P3       |
| **11** | Verify UI responsiveness of booking steps            | Ensure layout adapts on various devices                                                             | Mobile/Tablet/Desktop                 | Navigate booking flow                                                                                                                                                     | Layout is responsive; no overlap or clipping.                     | P4       |
| **12** | Verify that payment details are masked in UI         | Ensure sensitive info (card no, CVV) are not displayed                                              | Payment step open                     | Observe fields                                                                                                                                                            | Card details masked properly (e.g., **** **** **** 4242).         | P4       |
| **13** | Verify booking summary correctness                   | Ensure review step shows accurate details                                                           | User selected slot                    | Proceed to review page                                                                                                                                                    | All chosen options and price displayed correctly.                 | P4       |
| **14** | Verify browser refresh during booking retains state  | Validate session persistence                                                                        | Booking flow in progress              | Refresh browser                                                                                                                                                           | Data persists or user prompted to re-enter info gracefully.       | P4       |
| **15** | Verify Stripe redirection flow (if external)         | Ensure user correctly returns to Ezra after Stripe                                                  | Payment step                          | Complete payment on Stripe test page                                                                                                                                      | Redirected back to Ezra with confirmation.                        | P4       |

